"id","woman","birth_year","migration_background","urban","parental_edu","ability","university","income","owns_home","n_children","oracle_y0","oracle_y1"
1,1,1978,1,0,11.5,1.31,1,35.9,1,0,2.056,1.436
2,1,1972,0,0,15.5,0.94,0,25.9,0,4,1.8,1.18
3,0,1967,1,1,10.2,0.31,0,18.7,0,1,2.568,2.198
4,0,1964,0,1,12.6,0.42,0,21.9,0,2,2.243,1.873
5,1,1972,0,1,14.9,0.39,1,35.2,1,0,1.822,1.202
6,0,1970,0,1,12.2,0.8,1,37,0,3,2.009,1.639
7,0,1985,0,0,17.3,1.57,1,46.1,0,2,1.144,0.774
8,1,1965,0,1,7,-1.41,0,17.2,0,3,2.856,2.236
9,0,1959,0,0,8.2,-0.73,1,29.2,0,0,2.979,2.609
10,1,1973,0,1,13.1,0.9,1,43,1,1,1.833,1.213
11,0,1970,0,1,10.9,0.31,1,38.3,1,2,2.169,1.799
12,1,1961,1,1,6.7,-0.21,0,9.6,1,2,3.082,2.462
13,0,1968,1,0,12.3,-0.93,1,41.9,1,1,2.68,2.31
14,1,1960,0,0,12.8,-0.71,0,27.3,1,3,2.636,2.016
15,0,1974,0,1,10,0.4,0,25.7,0,1,2.079,1.709
16,0,1984,0,0,15.5,-0.8,1,48.6,1,1,1.654,1.284
17,1,1973,0,1,14.1,0.8,1,30.6,1,2,1.78,1.16
18,0,1960,0,1,17.8,1.41,1,56.8,0,0,1.885,1.515
19,0,1967,0,0,12.1,1.65,0,35.1,0,1,2.09,1.72
20,0,1978,0,0,12.3,-0.02,0,28.3,1,1,1.953,1.583
21,0,1963,0,1,10.4,-1.03,1,22.2,1,2,2.641,2.271
22,0,1964,0,1,11.5,-0.75,0,31.1,1,4,2.491,2.121
23,0,1961,0,0,14.5,1.1,1,46.8,1,1,2.217,1.847
24,0,1984,1,1,12.5,-0.04,0,38.6,1,2,1.889,1.519
25,0,1969,0,0,10.5,1.16,1,38.2,1,2,2.202,1.832
26,0,1981,0,0,13.5,0.68,1,53.5,0,1,1.666,1.296
27,0,1959,0,0,12.1,0.03,1,45.7,1,1,2.606,2.236
28,0,1978,0,1,12.3,1.96,0,38,1,1,1.556,1.186
29,0,1978,0,0,10.1,0.83,1,60.3,1,2,1.973,1.603
30,1,1961,1,1,11.1,0.45,0,28.8,1,4,2.69,2.07
31,1,1960,0,0,10.1,0.58,0,26.2,0,3,2.621,2.001
32,0,1962,0,1,8.7,-0.24,1,24.6,1,2,2.67,2.3
33,1,1979,0,1,13.1,-0.16,0,32.2,1,3,1.787,1.167
34,0,1955,1,0,15.5,3.03,1,47.3,1,2,2.316,1.946
